CH1,CH2,CH3,CH4,Timestamp
-12661.998451031744,-9960.234583422542,-9483.312345845625,-10832.267897797748,1731337436.7877097
-11794.016053888947,-8815.23066912219,-8318.7677199319,-10119.289159409702,1731337436.78771
-10914.61381802708,-8178.853402899578,-7796.2989496756345,-9407.495182648301,1731337436.7877116
-10359.289261367172,-8282.974962726235,-8102.078556671739,-8971.885862205178,1731337436.7877119
-10322.034813649952,-9055.581686288118,-9085.513521682471,-8965.861659936607,1731337436.7877133
-10785.804227966815,-10165.158736757934,-10336.499561592937,-9367.191790886223,1731337436.7877133
-11540.086059112102,-11157.398478224874,-11350.559172417969,-9995.032310292125,1731337436.7877157
-12267.03000112623,-11622.39022852853,-11711.461034819484,-10583.135343093425,1731337436.787716
-12659.023852963,-11341.249230913818,-11239.469725135714,-10879.336450580508,1731337436.787718
-12531.895647466183,-10375.16502442956,-10068.928410112858,-10740.388596903533,1731337436.7877183
-11900.283501137048,-9059.833179000765,-8617.59930446744,-10191.840006060898,1731337436.7877204
-10982.018258925527,-7884.578122228384,-7432.269296918064,-9425.423452354968,1731337436.787722
-10117.451172165573,-7293.818691257387,-6964.032641872764,-8726.48753356561,1731337436.7877238
-9631.996088918298,-7504.020126793534,-7382.123224832118,-8359.12913793698,1731337436.787724
-9704.407515462488,-8423.318725466728,-8515.079131942242,-8460.646800193936,1731337436.7877257
-10299.849646449089,-9699.390388991684,-9931.678787726909,-8990.66586380452,1731337436.787726
-11189.351840037853,-10857.775540731847,-11107.677666459233,-9750.076556574553,1731337436.7877283
-12037.058629315346,-11469.48109042272,-11608.524697326124,-10454.748868186027,1731337436.7877285
-12519.216182224452,-11298.845403842628,-11238.548417735845,-10835.855299104005,1731337436.78773
-12439.728671129793,-10395.18842260912,-10121.046770818532,-10737.14071662724,1731337436.7877305
-11807.548109192401,-9089.00706556812,-8669.273738920689,-10177.32989808917,1731337436.787732
-10841.152854688466,-7870.465469222516,-7431.232103548944,-9348.119006834924,1731337436.7877324
-9886.233150929213,-7188.928141400218,-6862.988974366337,-8540.302755206823,1731337436.7877345
-9276.22027169913,-7268.4154866710305,-7141.201025936753,-8026.907093528658,1731337436.7877347
-9199.239616274834,-8026.686291914433,-8104.074469015002,-7956.032313611358,1731337436.7877367
-9630.799680836499,-9123.17694889754,-9332.655232768506,-8299.360450409353,1731337436.787737
